PREFIX,FIRST,LAST,ID,DRIVERS,SSN,PASSPORT,GENDER,BIRTHDATE,DEATHDATE,MARITAL,RACE,ETHNICITY,SUFFIX,MAIDEN,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
Mrs.,Norah104,Stamm704,3e9fd20e-b81c-4698-a7c2-0559e10361fa,S99951588,999-46-5746,X43863756X,F,1979/8/24,,M,white,french,,Hagenes547,Hanover Massachusetts US,678 Trantow Overpass,New Bedford,Massachusetts,2740
Mr.,Eloy929,Dickinson688,71917638-8142-42da-87f1-fa0ba642f161,S99995552,999-95-8365,X3761822X,M,1989/10/21,,M,white,english,,,Dover Massachusetts US,431 Armstrong Forge,Upton,Massachusetts,1568
,Galina98,Murray856,ecd13907-7903-4886-a7f5-f6e687c758c4,,999-57-6519,,F,2004/10/11,,,white,irish,,,Barnstable Town Massachusetts US,779 Ledner Road Suite 24,Quincy,Massachusetts,2169
Mrs.,Franchesca574,Kuhic920,a1dfeccd-86e4-473b-a4ab-bd613db0dc2f,S99930729,999-96-3731,X83502942X,F,1981/2/5,,M,white,italian,,Goodwin327,Worcester Massachusetts US,619 Stiedemann Rue Unit 49,Grafton,Massachusetts,1519
Mrs.,Rosanna866,Hudson301,af1ee647-2278-4d36-8637-a1d043813116,S99995087,999-96-3303,X43449132X,F,1971/8/21,,M,white,italian,,Blick895,Quincy Massachusetts US,812 Donnelly Alley Apt 72,Westborough,Massachusetts,1581
,Marguerite497,Kunde533,0321643e-675d-42df-b7b7-a994edf99d60,,999-50-3413,,F,2011/8/23,,,white,italian,,,Brockton Massachusetts US,474 Russel Parade,Shrewsbury,Massachusetts,1545
Mrs.,Francisca486,Gerlach374,7a739bbe-76be-4327-8234-56b5d46dd38a,S99973537,999-40-7959,X25668173X,F,1988/6/15,,M,white,french,,Kulas532,Freetown Massachusetts US,233 Will Run,Ashland,Massachusetts,1721
Mrs.,Delinda651,Leuschke194,1eb30352-5aba-4fee-9bd2-4487efe0237f,S99926742,999-23-2701,X36865919X,F,1977/12/3,,M,white,french_canadian,,Lowe577,Berlin Massachusetts US,727 Mills Common,Middleborough,Massachusetts,2346
Mrs.,Lucile200,Kassulke119,224ee73f-e6ee-497f-908b-937971ed4f5d,S99993353,999-36-2962,X40513715X,F,1983/5/7,,M,asian,chinese,,Denesik803,Hong Kong Hong Kong Special Administrative Region CN,963 Kovacek Manor,Acton,Massachusetts,1720
Mrs.,Odelia236,Rodriguez71,7abcf886-1e35-4d51-8194-ac3a60151a3c,S99950218,999-16-1417,X15834921X,F,1969/1/5,2008/1/8,M,white,irish,,Legros616,Newton Massachusetts US,662 Grady Wynd Apt 10,Amesbury Town,Massachusetts,1913
Mr.,John539,Funk324,8d2d7a32-cca3-4160-bca8-1a9a1fda87cb,S99960663,999-54-6217,X45813664X,M,1971/11/30,,M,asian,chinese,,,Macau Macao Special Administrative Region of the People's Republic of China CN,881 Ferry Bypass,Rockland,Massachusetts,2370
Mr.,Brad867,Anderson154,3f620118-1054-412a-8feb-1b10f01fa61c,S99960152,999-77-5967,X25830373X,M,1979/3/31,,M,white,irish,,,Williamstown Massachusetts US,504 Yundt Meadow Suite 79,Cambridge,Massachusetts,2138
